,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0,11.27,6.22,7.09,7.56,7.25,8.49,4.93,7.89,6.74,14.59,7.71,6.57,7.03,5.32,7.25,7.34,12.92,6.78,8.36,5.79,6.63,6.46,7.63,5.62,5.3,13.0,8.66,6.86,7.97,5.35,5.46,7.21,6.63,6.19,6.87,6.8,7.15,13.18,5.14,6.92,6.03,5.93
1,11.54,6.29,7.23,7.74,7.37,8.46,5.02,7.94,6.89,14.45,8.18,6.84,7.28,5.59,7.09,7.49,13.05,6.98,8.74,6.08,6.8,6.48,7.74,5.86,5.67,12.47,8.63,7.25,8.27,5.95,5.83,7.17,6.85,6.25,7.07,6.91,7.31,12.16,5.14,6.97,6.12,6.05
2,11.49,6.62,7.07,7.88,7.4,8.54,5.0,7.94,6.99,14.24,7.99,6.82,7.08,5.49,6.79,7.61,13.02,7.12,8.39,6.19,6.99,6.43,7.86,6.06,5.64,13.95,8.67,7.3,8.34,6.05,5.84,7.49,6.76,6.31,7.16,6.86,7.3,11.01,5.08,7.12,6.43,6.07
3,11.5,6.82,7.6,8.52,7.53,8.83,5.13,7.98,7.08,13.76,8.35,7.39,7.47,5.73,6.35,7.88,13.03,7.27,8.48,6.53,7.24,6.29,7.95,6.44,5.81,14.0,8.93,7.34,8.8,6.55,5.9,7.43,7.39,6.4,7.27,6.87,7.6,10.77,4.94,7.29,6.13,6.3
4,11.97,7.25,7.69,9.42,7.64,9.13,5.2,7.91,7.8,13.62,8.93,7.4,7.75,6.1,7.03,8.97,12.94,7.79,8.5,6.96,7.63,6.53,8.2,7.08,6.22,14.16,9.0,7.28,8.9,7.05,6.01,7.74,7.71,6.48,7.45,6.95,8.03,11.15,4.86,7.36,6.59,6.52
5,11.62,7.18,7.92,9.38,7.67,9.9,5.5,7.81,8.46,13.61,8.89,7.14,7.68,5.8,6.9,9.74,12.89,7.79,8.8,8.76,7.21,6.52,7.85,7.43,8.03,14.22,8.8,6.97,9.25,7.01,6.04,7.65,7.85,6.43,7.97,6.94,7.51,11.13,4.87,7.35,6.47,6.57
6,11.62,7.02,7.66,9.1,7.43,9.78,5.56,7.81,8.72,13.68,8.86,6.75,7.93,5.6,7.23,9.71,12.97,7.63,8.97,8.23,7.16,6.48,8.28,7.14,7.46,14.01,8.89,6.59,9.12,7.03,6.11,7.6,7.51,6.22,8.13,6.84,7.97,10.95,4.89,7.05,6.28,8.16
7,11.65,7.25,7.75,9.24,7.42,9.74,5.62,7.83,8.48,13.58,8.85,6.79,8.41,5.76,7.2,9.72,13.05,7.74,8.94,8.4,7.08,6.44,8.22,7.21,7.44,14.37,9.45,6.66,9.13,6.85,6.04,7.64,7.52,6.24,8.11,6.83,8.04,10.95,4.91,7.13,6.22,5.8
8,11.48,7.2,7.76,9.13,7.43,9.76,5.52,7.85,7.97,13.51,8.61,7.0,8.07,5.66,7.47,9.13,13.04,7.64,8.86,7.27,7.26,6.49,8.23,7.26,7.35,14.03,9.03,6.79,9.24,6.76,6.08,7.52,7.4,6.26,7.83,6.88,7.55,10.77,4.98,7.11,6.45,6.53
9,11.74,6.94,7.22,9.14,7.53,9.0,5.38,7.88,7.15,13.54,8.31,7.55,7.44,5.57,7.18,8.08,13.05,7.08,8.84,6.28,6.78,6.48,8.4,6.6,5.66,14.37,8.94,7.33,8.61,6.87,5.9,7.44,7.43,6.35,8.13,6.94,7.31,11.02,5.02,7.4,6.55,5.98
10,11.31,7.53,7.44,8.27,7.57,8.94,5.37,8.0,7.03,13.39,8.16,7.48,7.23,5.52,7.08,7.55,13.07,7.05,8.5,6.46,6.67,6.58,7.9,6.28,6.13,14.31,8.56,7.53,8.6,6.45,5.7,7.55,7.29,6.48,7.16,6.86,7.19,12.14,5.12,7.34,6.38,6.26
11,11.12,6.8,7.23,7.84,7.31,8.65,5.39,7.98,6.64,13.89,7.53,6.94,7.25,5.33,6.62,7.54,13.16,6.98,8.51,6.08,6.62,6.72,7.8,6.23,5.75,14.18,8.58,7.16,8.23,5.95,5.56,7.56,7.21,6.37,7.11,6.55,7.13,13.03,5.15,7.12,6.17,6.07
